length	method1	method2	method3	method4
736	2951	23	5187	3681
741	2971	18	5215	3706
746	2991	8	5236	3731
751	3011	8	5271	3756
756	3031	23	5327	3781
761	3051	8	5341	3806
766	3071	8	5376	3831
771	3091	8	5411	3856
776	3111	18	5460	3881
781	3131	8	5481	3906
786	3151	8	5516	3931
791	3171	18	5565	3956
796	3191	8	5586	3981
801	3211	8	5621	4006
806	3231	13	5663	4031
811	3251	8	5691	4056
816	3271	8	5726	4081
821	3291	8	5761	4106
826	3311	8	5796	4131
831	3331	8	5831	4156
836	3351	18	5880	4181
841	3371	8	5901	4206
846	3391	18	5950	4231
851	3411	8	5971	4256
856	3431	8	6006	4281
861	3451	8	6041	4306
866	3471	18	6090	4331
871	3491	8	6111	4356
876	3511	8	6146	4381
881	3531	8	6181	4406
886	3551	8	6216	4431
891	3571	13	6258	4456
896	3591	18	6300	4481
901	3611	8	6321	4506
906	3631	13	6363	4531
911	3651	8	6391	4556
916	3671	8	6426	4581
921	3691	13	6468	4606
926	3711	18	6510	4631
931	3731	23	6552	4656
936	3751	8	6566	4681
941	3771	8	6601	4706
946	3791	8	6636	4731
951	3811	8	6671	4756
956	3831	18	6720	4781
961	3851	23	6762	4806
966	3871	13	6783	4831
971	3891	23	6832	4856
976	3911	13	6853	4881
981	3931	18	6895	4906
986	3951	8	6916	4931
991	3971	8	6951	4956
996	3991	8	6986	4981
1001	4011	8	7021	5006
1006	4031	13	7063	5031
1011	4051	13	7098	5056
1016	4071	13	7133	5081
1021	4091	18	7175	5106
1026	4111	13	7203	5131
1031	4131	8	7231	5156
1036	4151	13	7273	5181
1041	4171	53	7364	5206
1046	4191	8	7336	5231
1051	4211	8	7371	5256
1056	4231	8	7406	5281
1061	4251	13	7448	5306
1066	4271	13	7483	5331
1071	4291	8	7511	5356
1076	4311	8	7546	5381
1081	4331	8	7581	5406
1086	4351	8	7616	5431
1091	4371	13	7658	5456
1096	4391	18	7700	5481
1101	4411	13	7728	5506
1106	4431	23	7777	5531
1111	4451	28	7819	5556
1116	4471	8	7826	5581
1121	4491	13	7868	5606
1126	4511	28	7924	5631
1131	4531	8	7931	5656
1136	4551	28	7994	5681
1141	4571	18	8015	5706
1146	4591	13	8043	5731
1151	4611	13	8078	5756
1156	4631	33	8141	5781
1161	4651	38	8183	5806
1166	4671	13	8183	5831
1171	4691	8	8211	5856
1176	4711	8	8246	5881
1181	4731	8	8281	5906
1186	4751	13	8323	5931
1191	4771	13	8358	5956
1196	4791	23	8407	5981
1201	4811	13	8428	6006
1206	4831	13	8463	6031
1211	4851	8	8491	6056
1216	4871	8	8526	6081
1221	4891	8	8561	6106
1226	4911	23	8617	6131
1231	4931	8	8631	6156
1236	4951	38	8708	6181
1241	4971	8	8701	6206
1246	4991	8	8736	6231
1251	5011	13	8778	6256
1256	5031	18	8820	6281
1261	5051	8	8841	6306
1266	5071	48	8932	6331
1271	5091	13	8918	6356
1276	5111	8	8946	6381
1281	5131	13	8988	6406
1286	5151	13	9023	6431
1291	5171	8	9051	6456
1296	5191	8	9086	6481
1301	5211	8	9121	6506
1306	5231	13	9163	6531
1311	5251	13	9198	6556
1316	5271	13	9233	6581
1321	5291	8	9261	6606
1326	5311	8	9296	6631
1331	5331	8	9331	6656
1336	5351	8	9366	6681
1341	5371	18	9415	6706
1346	5391	8	9436	6731
1351	5411	18	9485	6756
1356	5431	13	9513	6781
1361	5451	13	9548	6806
1366	5471	8	9576	6831
1371	5491	8	9611	6856
1376	5511	8	9646	6881
1381	5531	18	9695	6906
1386	5551	8	9716	6931
1391	5571	8	9751	6956
1396	5591	38	9828	6981
1401	5611	8	9821	7006
1406	5631	8	9856	7031
1411	5651	8	9891	7056
1416	5671	8	9926	7081
1421	5691	8	9961	7106
1426	5711	13	10003	7131
1431	5731	8	10031	7156
1436	5751	13	10073	7181
1441	5771	18	10115	7206
1446	5791	18	10150	7231
1451	5811	8	10171	7256
1456	5831	13	10213	7281
1461	5851	13	10248	7306
1466	5871	23	10297	7331
1471	5891	8	10311	7356
1476	5911	23	10367	7381
1481	5931	8	10381	7406
1486	5951	23	10437	7431
1491	5971	8	10451	7456
1496	5991	23	10507	7481
1501	6011	13	10528	7506
1506	6031	8	10556	7531
1511	6051	23	10612	7556
1516	6071	8	10626	7581
1521	6091	13	10668	7606
1526	6111	8	10696	7631
1531	6131	13	10738	7656
1536	6151	13	10773	7681
1541	6171	13	10808	7706
1546	6191	8	10836	7731
1551	6211	8	10871	7756
1556	6231	13	10913	7781
1561	6251	23	10962	7806
1566	6271	8	10976	7831
1571	6291	8	11011	7856
1576	6311	13	11053	7881
1581	6331	18	11095	7906
1586	6351	13	11123	7931
1591	6371	23	11172	7956
1596	6391	13	11193	7981
1601	6411	18	11235	8006
1606	6431	23	11277	8031
1611	6451	8	11291	8056
1616	6471	8	11326	8081
1621	6491	13	11368	8106
1626	6511	13	11403	8131
1631	6531	8	11431	8156
1636	6551	23	11487	8181
1641	6571	8	11501	8206
1646	6591	8	11536	8231
1651	6611	8	11571	8256
1656	6631	8	11606	8281
1661	6651	8	11641	8306
1666	6671	18	11690	8331
1671	6691	38	11753	8356
1676	6711	23	11767	8381
1681	6731	18	11795	8406
1686	6751	28	11844	8431
1691	6771	13	11858	8456
1696	6791	13	11893	8481
1701	6811	8	11921	8506
1706	6831	13	11963	8531
1711	6851	13	11998	8556
1716	6871	8	12026	8581
1721	6891	18	12075	8606
1726	6911	8	12096	8631
1731	6931	23	12152	8656
1736	6951	13	12173	8681
1741	6971	23	12222	8706
1746	6991	8	12236	8731
1751	7011	13	12278	8756
1756	7031	23	12327	8781
1761	7051	13	12348	8806
1766	7071	33	12411	8831
1771	7091	13	12418	8856
1776	7111	23	12467	8881
1781	7131	8	12481	8906
1786	7151	8	12516	8931
1791	7171	8	12551	8956
1796	7191	43	12635	8981
1801	7211	8	12621	9006
1806	7231	18	12670	9031
1811	7251	13	12698	9056
1816	7271	8	12726	9081
1821	7291	18	12775	9106
1826	7311	13	12803	9131
1831	7331	8	12831	9156
1836	7351	8	12866	9181
1841	7371	8	12901	9206
1846	7391	13	12943	9231
1851	7411	13	12978	9256
1856	7431	23	13027	9281
1861	7451	13	13048	9306
1866	7471	8	13076	9331
1871	7491	33	13146	9356
1876	7511	8	13146	9381
1881	7531	8	13181	9406
1886	7551	8	13216	9431
1891	7571	8	13251	9456
1896	7591	8	13286	9481
1901	7611	18	13335	9506
1906	7631	18	13370	9531
1911	7651	8	13391	9556
1916	7671	23	13447	9581
1921	7691	8	13461	9606
1926	7711	23	13517	9631
1931	7731	13	13538	9656
1936	7751	8	13566	9681
1941	7771	18	13615	9706
1946	7791	8	13636	9731
1951	7811	8	13671	9756
1956	7831	18	13720	9781
1961	7851	8	13741	9806
1966	7871	18	13790	9831
1971	7891	23	13832	9856
1976	7911	8	13846	9881
1981	7931	23	13902	9906
1986	7951	18	13930	9931
1991	7971	13	13958	9956
1996	7991	13	13993	9981
2001	8011	23	14042	10006
2006	8031	8	14056	10031
2011	8051	13	14098	10056
2016	8071	8	14126	10081
2021	8091	8	14161	10106
2026	8111	18	14210	10131
2031	8131	8	14231	10156
2036	8151	8	14266	10181
2041	8171	23	14322	10206
2046	8191	18	14350	10231
2051	8211	33	14406	10256
2056	8231	8	14406	10281
2061	8251	8	14441	10306
2066	8271	8	14476	10331
2071	8291	18	14525	10356
2076	8311	18	14560	10381
2081	8331	8	14581	10406
2086	8351	8	14616	10431
2091	8371	23	14672	10456
2096	8391	13	14693	10481
2101	8411	8	14721	10506
2106	8431	13	14763	10531
2111	8451	23	14812	10556
2116	8471	23	14847	10581
2121	8491	8	14861	10606
2126	8511	53	14959	10631
2131	8531	13	14938	10656
2136	8551	8	14966	10681
2141	8571	13	15008	10706
2146	8591	23	15057	10731
2151	8611	8	15071	10756
2156	8631	8	15106	10781
2161	8651	8	15141	10806
2166	8671	18	15190	10831
2171	8691	13	15218	10856
2176	8711	23	15267	10881
2181	8731	13	15288	10906
2186	8751	23	15337	10931
2191	8771	8	15351	10956
2196	8791	8	15386	10981
2201	8811	8	15421	11006
2206	8831	8	15456	11031
2211	8851	8	15491	11056
2216	8871	18	15540	11081
2221	8891	23	15582	11106
2226	8911	43	15645	11131
2231	8931	8	15631	11156
2236	8951	8	15666	11181
2241	8971	8	15701	11206
2246	8991	8	15736	11231
2251	9011	8	15771	11256
2256	9031	33	15841	11281
2261	9051	8	15841	11306
2266	9071	23	15897	11331
2271	9091	13	15918	11356
2276	9111	23	15967	11381
2281	9131	8	15981	11406
2286	9151	13	16023	11431
2291	9171	8	16051	11456
2296	9191	18	16100	11481
2301	9211	28	16149	11506
2306	9231	13	16163	11531
2311	9251	8	16191	11556
2316	9271	18	16240	11581
2321	9291	8	16261	11606
2326	9311	8	16296	11631
2331	9331	8	16331	11656
2336	9351	8	16366	11681
2341	9371	8	16401	11706
2346	9391	8	16436	11731
2351	9411	8	16471	11756
2356	9431	43	16555	11781
2361	9451	8	16541	11806
2366	9471	13	16583	11831
2371	9491	8	16611	11856
2376	9511	8	16646	11881
2381	9531	13	16688	11906
2386	9551	13	16723	11931
2391	9571	8	16751	11956
2396	9591	18	16800	11981
2401	9611	23	16842	12006
2406	9631	8	16856	12031
2411	9651	13	16898	12056
2416	9671	18	16940	12081
2421	9691	13	16968	12106
2426	9711	23	17017	12131
2431	9731	8	17031	12156
2436	9751	18	17080	12181
2441	9771	8	17101	12206
2446	9791	23	17157	12231
2451	9811	13	17178	12256
2456	9831	13	17213	12281
2461	9851	8	17241	12306
2466	9871	8	17276	12331
2471	9891	13	17318	12356
2476	9911	8	17346	12381
2481	9931	8	17381	12406
2486	9951	13	17423	12431
2491	9971	18	17465	12456
2496	9991	13	17493	12481
2501	10011	18	17535	12506
2506	10031	13	17563	12531
2511	10051	18	17605	12556
2516	10071	8	17626	12581
2521	10091	8	17661	12606
2526	10111	8	17696	12631
2531	10131	8	17731	12656
2536	10151	8	17766	12681
2541	10171	33	17836	12706
2546	10191	8	17836	12731
2551	10211	8	17871	12756
2556	10231	18	17920	12781
2561	10251	8	17941	12806
2566	10271	8	17976	12831
2571	10291	8	18011	12856
2576	10311	8	18046	12881
2581	10331	13	18088	12906
2586	10351	8	18116	12931
2591	10371	23	18172	12956
2596	10391	13	18193	12981
2601	10411	8	18221	13006
2606	10431	13	18263	13031
2611	10451	18	18305	13056
2616	10471	18	18340	13081
2621	10491	8	18361	13106
2626	10511	8	18396	13131
2631	10531	23	18452	13156
2636	10551	13	18473	13181
2641	10571	18	18515	13206
2646	10591	18	18550	13231
2651	10611	8	18571	13256
2656	10631	28	18634	13281
2661	10651	8	18641	13306
2666	10671	18	18690	13331
2671	10691	8	18711	13356
2676	10711	8	18746	13381
2681	10731	23	18802	13406
2686	10751	28	18844	13431
2691	10771	8	18851	13456
2696	10791	8	18886	13481
2701	10811	8	18921	13506
2706	10831	8	18956	13531
2711	10851	8	18991	13556
2716	10871	8	19026	13581
2721	10891	8	19061	13606
2726	10911	13	19103	13631
2731	10931	8	19131	13656
2736	10951	13	19173	13681
2741	10971	8	19201	13706
2746	10991	18	19250	13731
2751	11011	8	19271	13756
2756	11031	13	19313	13781
2761	11051	13	19348	13806
2766	11071	18	19390	13831
2771	11091	8	19411	13856
2776	11111	18	19460	13881
2781	11131	8	19481	13906
2786	11151	13	19523	13931
2791	11171	13	19558	13956
2796	11191	18	19600	13981
2801	11211	28	19649	14006
2806	11231	8	19656	14031
2811	11251	8	19691	14056
2816	11271	8	19726	14081
2821	11291	8	19761	14106
2826	11311	8	19796	14131
2831	11331	18	19845	14156
2836	11351	13	19873	14181
2841	11371	28	19929	14206
2846	11391	8	19936	14231
2851	11411	13	19978	14256
2856	11431	8	20006	14281
2861	11451	13	20048	14306
2866	11471	8	20076	14331
2871	11491	13	20118	14356
2876	11511	13	20153	14381
2881	11531	8	20181	14406
2886	11551	28	20244	14431
2891	11571	23	20272	14456
2896	11591	8	20286	14481
2901	11611	18	20335	14506
2906	11631	33	20391	14531
2911	11651	8	20391	14556
2916	11671	18	20440	14581
2921	11691	8	20461	14606
2926	11711	18	20510	14631
2931	11731	13	20538	14656
2936	11751	8	20566	14681
2941	11771	13	20608	14706
2946	11791	8	20636	14731
2951	11811	13	20678	14756
2956	11831	8	20706	14781
2961	11851	8	20741	14806
2966	11871	8	20776	14831
2971	11891	8	20811	14856
2976	11911	13	20853	14881
2981	11931	38	20923	14906
2986	11951	18	20930	14931
2991	11971	13	20958	14956
2996	11991	8	20986	14981
3001	12011	8	21021	15006
3006	12031	8	21056	15031
3011	12051	8	21091	15056
3016	12071	23	21147	15081
3021	12091	23	21182	15106
3026	12111	43	21245	15131
3031	12131	18	21245	15156
3036	12151	13	21273	15181
3041	12171	8	21301	15206
3046	12191	8	21336	15231
3051	12211	13	21378	15256
3056	12231	23	21427	15281
3061	12251	13	21448	15306
3066	12271	8	21476	15331
3071	12291	8	21511	15356
3076	12311	8	21546	15381
3081	12331	8	21581	15406
3086	12351	13	21623	15431
3091	12371	8	21651	15456
3096	12391	8	21686	15481
3101	12411	8	21721	15506
3106	12431	8	21756	15531
3111	12451	13	21798	15556
3116	12471	13	21833	15581
3121	12491	8	21861	15606
3126	12511	18	21910	15631
3131	12531	13	21938	15656
3136	12551	28	21994	15681
3141	12571	8	22001	15706
3146	12591	28	22064	15731
3151	12611	13	22078	15756
3156	12631	28	22134	15781
3161	12651	8	22141	15806
3166	12671	8	22176	15831
3171	12691	18	22225	15856
3176	12711	8	22246	15881
3181	12731	18	22295	15906
3186	12751	13	22323	15931
3191	12771	23	22372	15956
3196	12791	8	22386	15981
3201	12811	33	22456	16006
3206	12831	13	22463	16031
3211	12851	8	22491	16056
3216	12871	8	22526	16081
3221	12891	13	22568	16106
3226	12911	8	22596	16131
3231	12931	38	22673	16156
3236	12951	8	22666	16181
3241	12971	13	22708	16206
3246	12991	8	22736	16231
3251	13011	8	22771	16256
3256	13031	8	22806	16281
3261	13051	13	22848	16306
3266	13071	8	22876	16331
3271	13091	48	22967	16356
3276	13111	13	22953	16381
3281	13131	13	22988	16406
3286	13151	13	23023	16431
3291	13171	33	23086	16456
3296	13191	23	23107	16481
3301	13211	8	23121	16506
3306	13231	8	23156	16531
3311	13251	8	23191	16556
3316	13271	13	23233	16581
3321	13291	23	23282	16606
3326	13311	8	23296	16631
3331	13331	8	23331	16656
3336	13351	8	23366	16681
3341	13371	8	23401	16706
3346	13391	8	23436	16731
3351	13411	18	23485	16756
3356	13431	8	23506	16781
3361	13451	8	23541	16806
3366	13471	8	23576	16831
3371	13491	8	23611	16856
3376	13511	8	23646	16881
3381	13531	13	23688	16906
3386	13551	23	23737	16931
3391	13571	8	23751	16956
3396	13591	13	23793	16981
3401	13611	18	23835	17006
3406	13631	13	23863	17031
3411	13651	8	23891	17056
3416	13671	13	23933	17081
3421	13691	8	23961	17106
3426	13711	8	23996	17131
3431	13731	13	24038	17156
3436	13751	13	24073	17181
3441	13771	8	24101	17206
3446	13791	8	24136	17231
3451	13811	28	24199	17256
3456	13831	8	24206	17281
3461	13851	8	24241	17306
3466	13871	38	24318	17331
3471	13891	38	24353	17356
3476	13911	8	24346	17381
3481	13931	13	24388	17406
3486	13951	13	24423	17431
3491	13971	8	24451	17456
3496	13991	13	24493	17481
3501	14011	13	24528	17506
3506	14031	13	24563	17531
3511	14051	13	24598	17556
3516	14071	8	24626	17581
3521	14091	23	24682	17606
3526	14111	28	24724	17631
3531	14131	8	24731	17656
3536	14151	28	24794	17681
3541	14171	8	24801	17706
3546	14191	8	24836	17731
3551	14211	13	24878	17756
3556	14231	8	24906	17781
3561	14251	8	24941	17806
3566	14271	8	24976	17831
3571	14291	8	25011	17856
3576	14311	13	25053	17881
3581	14331	18	25095	17906
3586	14351	18	25130	17931
3591	14371	8	25151	17956
3596	14391	8	25186	17981
3601	14411	23	25242	18006
3606	14431	8	25256	18031
3611	14451	23	25312	18056
3616	14471	8	25326	18081
3621	14491	13	25368	18106
3626	14511	8	25396	18131
3631	14531	18	25445	18156
3636	14551	8	25466	18181
3641	14571	18	25515	18206
3646	14591	8	25536	18231
3651	14611	18	25585	18256
3656	14631	8	25606	18281
3661	14651	8	25641	18306
3666	14671	8	25676	18331
3671	14691	8	25711	18356
3676	14711	8	25746	18381
3681	14731	23	25802	18406
3686	14751	8	25816	18431
3691	14771	13	25858	18456
3696	14791	13	25893	18481
3701	14811	8	25921	18506
3706	14831	8	25956	18531
3711	14851	8	25991	18556
3716	14871	8	26026	18581
3721	14891	8	26061	18606
3726	14911	8	26096	18631
3731	14931	8	26131	18656
3736	14951	13	26173	18681
3741	14971	23	26222	18706
3746	14991	8	26236	18731
3751	15011	8	26271	18756
3756	15031	8	26306	18781
3761	15051	8	26341	18806
3766	15071	18	26390	18831
3771	15091	18	26425	18856
3776	15111	8	26446	18881
3781	15131	13	26488	18906
3786	15151	13	26523	18931
3791	15171	33	26586	18956
3796	15191	18	26600	18981
3801	15211	18	26635	19006
3806	15231	8	26656	19031
3811	15251	13	26698	19056
3816	15271	18	26740	19081
3821	15291	13	26768	19106
3826	15311	8	26796	19131
3831	15331	13	26838	19156
3836	15351	8	26866	19181
3841	15371	8	26901	19206
3846	15391	8	26936	19231
3851	15411	8	26971	19256
3856	15431	8	27006	19281
3861	15451	13	27048	19306
3866	15471	8	27076	19331
3871	15491	8	27111	19356
3876	15511	8	27146	19381
3881	15531	28	27209	19406
3886	15551	8	27216	19431
3891	15571	18	27265	19456
3896	15591	18	27300	19481
3901	15611	8	27321	19506
3906	15631	18	27370	19531
3911	15651	8	27391	19556
3916	15671	8	27426	19581
3921	15691	8	27461	19606
3926	15711	8	27496	19631
3931	15731	8	27531	19656
3936	15751	13	27573	19681
3941	15771	13	27608	19706
3946	15791	13	27643	19731
3951	15811	33	27706	19756
3956	15831	8	27706	19781
3961	15851	8	27741	19806
3966	15871	18	27790	19831
3971	15891	18	27825	19856
3976	15911	28	27874	19881
3981	15931	13	27888	19906
3986	15951	18	27930	19931
3991	15971	13	27958	19956
3996	15991	13	27993	19981
4001	16011	8	28021	20006
4006	16031	8	28056	20031
4011	16051	13	28098	20056
4016	16071	8	28126	20081
4021	16091	13	28168	20106
4026	16111	8	28196	20131
4031	16131	8	28231	20156
4036	16151	13	28273	20181
4041	16171	23	28322	20206
4046	16191	13	28343	20231
4051	16211	23	28392	20256
4056	16231	58	28476	20281
4061	16251	13	28448	20306
4066	16271	23	28497	20331
4071	16291	13	28518	20356
4076	16311	8	28546	20381
4081	16331	8	28581	20406
4086	16351	8	28616	20431
4091	16371	13	28658	20456
4096	16391	8	28686	20481
4101	16411	13	28728	20506
4106	16431	8	28756	20531
4111	16451	23	28812	20556
4116	16471	8	28826	20581
4121	16491	8	28861	20606
4126	16511	13	28903	20631
4131	16531	13	28938	20656
4136	16551	8	28966	20681
4141	16571	23	29022	20706
4146	16591	33	29071	20731
4151	16611	13	29078	20756
4156	16631	8	29106	20781
4161	16651	8	29141	20806
4166	16671	13	29183	20831
4171	16691	8	29211	20856
4176	16711	13	29253	20881
4181	16731	8	29281	20906
4186	16751	13	29323	20931
4191	16771	8	29351	20956
4196	16791	8	29386	20981
4201	16811	8	29421	21006
4206	16831	8	29456	21031
4211	16851	13	29498	21056
4216	16871	8	29526	21081
4221	16891	8	29561	21106
4226	16911	8	29596	21131
4231	16931	8	29631	21156
4236	16951	8	29666	21181
4241	16971	8	29701	21206
4246	16991	8	29736	21231
4251	17011	13	29778	21256
4256	17031	8	29806	21281
4261	17051	13	29848	21306
4266	17071	8	29876	21331
4271	17091	8	29911	21356
4276	17111	18	29960	21381
4281	17131	13	29988	21406
4286	17151	13	30023	21431
4291	17171	18	30065	21456
4296	17191	8	30086	21481
4301	17211	13	30128	21506
4306	17231	8	30156	21531
4311	17251	13	30198	21556
4316	17271	8	30226	21581
4321	17291	13	30268	21606
4326	17311	13	30303	21631
4331	17331	8	30331	21656
4336	17351	8	30366	21681
4341	17371	18	30415	21706
4346	17391	8	30436	21731
4351	17411	13	30478	21756
4356	17431	8	30506	21781
4361	17451	8	30541	21806
4366	17471	8	30576	21831
4371	17491	8	30611	21856
4376	17511	8	30646	21881
4381	17531	23	30702	21906
4386	17551	18	30730	21931
4391	17571	13	30758	21956
4396	17591	8	30786	21981
4401	17611	8	30821	22006
4406	17631	8	30856	22031
4411	17651	8	30891	22056
4416	17671	8	30926	22081
4421	17691	18	30975	22106
4426	17711	13	31003	22131
4431	17731	8	31031	22156
4436	17751	8	31066	22181
4441	17771	8	31101	22206
4446	17791	13	31143	22231
4451	17811	13	31178	22256
4456	17831	13	31213	22281
4461	17851	13	31248	22306
4466	17871	28	31304	22331
4471	17891	13	31318	22356
4476	17911	8	31346	22381
4481	17931	8	31381	22406
4486	17951	23	31437	22431
4491	17971	8	31451	22456
4496	17991	8	31486	22481
4501	18011	8	31521	22506
4506	18031	18	31570	22531
4511	18051	13	31598	22556
4516	18071	8	31626	22581
4521	18091	8	31661	22606
4526	18111	18	31710	22631
4531	18131	38	31773	22656
4536	18151	8	31766	22681
4541	18171	18	31815	22706
4546	18191	13	31843	22731
4551	18211	13	31878	22756
4556	18231	8	31906	22781
4561	18251	8	31941	22806
4566	18271	13	31983	22831
4571	18291	8	32011	22856
4576	18311	13	32053	22881
4581	18331	8	32081	22906
4586	18351	8	32116	22931
4591	18371	18	32165	22956
4596	18391	8	32186	22981
4601	18411	8	32221	23006
4606	18431	8	32256	23031
4611	18451	23	32312	23056
4616	18471	18	32340	23081
4621	18491	13	32368	23106
4626	18511	13	32403	23131
4631	18531	8	32431	23156
4636	18551	33	32501	23181
4641	18571	8	32501	23206
4646	18591	8	32536	23231
4651	18611	8	32571	23256
4656	18631	13	32613	23281
4661	18651	8	32641	23306
4666	18671	8	32676	23331
4671	18691	8	32711	23356
4676	18711	23	32767	23381
4681	18731	8	32781	23406
4686	18751	13	32823	23431
4691	18771	8	32851	23456
4696	18791	8	32886	23481
4701	18811	13	32928	23506
4706	18831	8	32956	23531
4711	18851	8	32991	23556
4716	18871	13	33033	23581
4721	18891	18	33075	23606
4726	18911	18	33110	23631
4731	18931	8	33131	23656
4736	18951	8	33166	23681
4741	18971	8	33201	23706
4746	18991	18	33250	23731
4751	19011	28	33299	23756
4756	19031	8	33306	23781
4761	19051	23	33362	23806
4766	19071	23	33397	23831
4771	19091	18	33425	23856
4776	19111	18	33460	23881
4781	19131	28	33509	23906
4786	19151	18	33530	23931
4791	19171	18	33565	23956
4796	19191	8	33586	23981
4801	19211	8	33621	24006
4806	19231	13	33663	24031
4811	19251	13	33698	24056
4816	19271	8	33726	24081
4821	19291	8	33761	24106
4826	19311	13	33803	24131
4831	19331	13	33838	24156
4836	19351	8	33866	24181
4841	19371	8	33901	24206
4846	19391	8	33936	24231
4851	19411	13	33978	24256
4856	19431	28	34034	24281
4861	19451	8	34041	24306
4866	19471	8	34076	24331
4871	19491	8	34111	24356
4876	19511	13	34153	24381
4881	19531	8	34181	24406
4886	19551	8	34216	24431
4891	19571	8	34251	24456
4896	19591	18	34300	24481
4901	19611	8	34321	24506
4906	19631	8	34356	24531
4911	19651	8	34391	24556
4916	19671	53	34489	24581
4921	19691	23	34482	24606
4926	19711	13	34503	24631
4931	19731	8	34531	24656
4936	19751	8	34566	24681
4941	19771	8	34601	24706
4946	19791	23	34657	24731
4951	19811	8	34671	24756
4956	19831	8	34706	24781
4961	19851	13	34748	24806
4966	19871	8	34776	24831
4971	19891	8	34811	24856
4976	19911	8	34846	24881
4981	19931	18	34895	24906
4986	19951	8	34916	24931
4991	19971	8	34951	24956
4996	19991	13	34993	24981
5001	20011	13	35028	25006
5006	20031	28	35084	25031
5011	20051	8	35091	25056
5016	20071	8	35126	25081
5021	20091	8	35161	25106
5026	20111	8	35196	25131
5031	20131	8	35231	25156
5036	20151	13	35273	25181
5041	20171	8	35301	25206
5046	20191	28	35364	25231
5051	20211	18	35385	25256
5056	20231	8	35406	25281
5061	20251	8	35441	25306
5066	20271	13	35483	25331
5071	20291	8	35511	25356
5076	20311	8	35546	25381
5081	20331	8	35581	25406
5086	20351	8	35616	25431
5091	20371	18	35665	25456
5096	20391	8	35686	25481
